Дата;Артикул;Наименование;Тип;Количество;Комментарий
2026-08-27;CABLE-4;Канат для протяжки кабеля 4мм;Приход;235;Производство (плетение)
2026-08-27;LEER-8;Леер для лодок 8мм;Продажа;-87;Отгрузка клиенту
2026-08-27;LEER-8;Леер для лодок 8мм;Приход;94;Производство (плетение)
2026-08-27;LEER-6;Леер для лодок 6мм;Приход;170;Производство (плетение)
2026-08-27;LEER-5;Леер для лодок 5мм;Приход;194;Производство (плетение)
2026-08-27;YAHT-12;Канат яхтенный 12мм;Продажа;-107;Отгрузка клиенту
2026-08-27;YAHT-12;Канат яхтенный 12мм;Приход;99;Производство (плетение)
2026-08-27;YAHT-10;Канат яхтенный (фалы) 10мм;Продажа;-80;Отгрузка клиенту
2026-08-27;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;177;Производство (плетение)
2026-08-27;YAHT-8;Канат яхтенный 8мм;Приход;202;Производство (плетение)
2026-08-27;YAHT-6;Канат яхтенный (шкоты) 6мм;Продажа;-155;Отгрузка клиенту
2026-08-27;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;251;Производство (плетение)
2026-08-27;FISH-3;Шнур рыболовный 3мм;Продажа;-170;Отгрузка клиенту
2026-08-27;FISH-3;Шнур рыболовный 3мм;Приход;334;Производство (плетение)
2026-08-27;FISH-25;Шнур рыболовный 2.5мм;Продажа;-435;Отгрузка клиенту
2026-08-27;FISH-25;Шнур рыболовный 2.5мм;Приход;377;Производство (плетение)
2026-08-27;FISH-18;Шнур рыболовный (throwline) 1.8мм;Продажа;-631;Отгрузка клиенту
2026-08-27;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;618;Производство (плетение)
2026-08-27;GLS-10;Шнур стеклянный 10мм;Продажа;-49;Отгрузка клиенту
2026-08-27;GLS-10;Шнур стеклянный 10мм;Приход;60;Производство (плетение)
2026-08-27;GLS-8;Шнур стеклянный 8мм;Продажа;-61;Отгрузка клиенту
2026-08-27;GLS-8;Шнур стеклянный 8мм;Приход;84;Производство (плетение)
2026-08-27;GLS-6;Шнур стеклянный 6мм;Продажа;-111;Отгрузка клиенту
2026-08-27;GLS-6;Шнур стеклянный 6мм;Приход;117;Производство (плетение)
2026-08-27;GLS-4;Шнур стеклянный 4мм;Приход;117;Производство (плетение)
2026-08-27;BAS-12;Шнур базальтовый 12мм;Продажа;-37;Отгрузка клиенту
2026-08-27;BAS-12;Шнур базальтовый 12мм;Приход;79;Производство (плетение)
2026-08-27;BAS-10;Шнур базальтовый 10мм (сердечник);Продажа;-66;Отгрузка клиенту
2026-08-27;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;95;Производство (плетение)
2026-08-27;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;123;Производство (плетение)
2026-08-27;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;144;Производство (плетение)
2026-08-27;SIL-18;Шнур кремнеземный 18мм;Продажа;-31;Отгрузка клиенту
2026-08-27;SIL-18;Шнур кремнеземный 18мм;Приход;32;Производство (плетение)
2026-08-27;SIL-16;Шнур кремнеземный 16мм;Продажа;-23;Отгрузка клиенту
2026-08-27;SIL-16;Шнур кремнеземный 16мм;Приход;46;Производство (плетение)
2026-08-27;SIL-14;Шнур кремнеземный 14мм;Приход;59;Производство (плетение)
2026-08-27;SIL-12;Шнур кремнеземный 12мм;Продажа;-54;Отгрузка клиенту
2026-08-27;SIL-12;Шнур кремнеземный 12мм;Приход;87;Производство (плетение)
2026-08-27;SIL-10;Шнур кремнеземный 10мм;Приход;104;Производство (плетение)
2026-08-27;SIL-8;Шнур кремнеземный 8мм;Продажа;-69;Отгрузка клиенту
2026-08-27;SIL-8;Шнур кремнеземный 8мм;Приход;129;Производство (плетение)
2026-08-27;SIL-6;Шнур кремнеземный 6мм;Продажа;-162;Отгрузка клиенту
2026-08-27;SIL-6;Шнур кремнеземный 6мм;Приход;162;Производство (плетение)
2026-08-27;SIL-4;Шнур кремнеземный 4мм;Приход;172;Производство (плетение)
2026-08-27;PE-10;Канат полиэтиленовый 10мм;Продажа;-163;Отгрузка клиенту
2026-08-27;PE-10;Канат полиэтиленовый 10мм;Приход;216;Производство (плетение)
2026-08-27;PE-8;Канат полиэтиленовый 8мм;Приход;290;Производство (плетение)
2026-08-27;PE-6;Канат полиэтиленовый 6мм;Продажа;-256;Отгрузка клиенту
2026-08-27;PE-6;Канат полиэтиленовый 6мм;Приход;357;Производство (плетение)
2026-08-27;PP-40;Канат ПП 40мм (48-прядный);Приход;20;Производство (плетение)
2026-08-27;PP-32;Канат ПП 32мм (48-прядный);Продажа;-38;Отгрузка клиенту
2026-08-27;PP-32;Канат ПП 32мм (48-прядный);Приход;37;Производство (плетение)
2026-08-27;PP-24;Канат ПП 24мм (48-прядный);Приход;89;Производство (плетение)
